FID,ICB23CD,ICB23NM,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
1,E54000008,NHS Cheshire and Merseyside Integrated Care Board,374405,380936,-2.38572,53.32473,2991167052.65209,493531.444140567,01aa947d-176c-4218-b9f5-6798c1191576
2,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,398243,334651,-2.02756,52.9093,2718401537.5545,380479.924038422,3b28608f-bcd0-4cc3-b3fd-ee20085b1351
3,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",350226,302960,-2.73668,52.62212,3486123338.55577,433622.686834374,7771af61-6a62-4c2c-b9c9-1bfbdb20ba60
4,E54000013,NHS Lincolnshire Integrated Care Board,517984,358538,-0.23884,53.11101,5938874919.26743,526753.305412131,00359689-8b11-467f-8e48-247c842cbef5
5,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",466552,310188,-1.0169,52.68532,2550050087.74256,290582.374757322,221b43d6-c9ee-4fe9-bd15-c16166e272a7
6,E54000018,NHS Coventry and Warwickshire Integrated Care Board,429584,266724,-1.5676,52.29786,2075193253.64207,326050.113103832,da68ffa5-525c-4366-b75b-0c7a8d95bcba
7,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,364519,249269,-2.51986,52.14057,3922148214.29575,474357.972550674,1333aaa7-c60b-422a-906d-a52b6f1a403c
8,E54000022,NHS Norfolk and Waveney Integrated Care Board,600616,310723,0.964749,52.65712,5758228625.16144,503207.381171084,dbfa8d51-8918-4f1e-8148-c62e14f7e922
9,E54000023,NHS Suffolk and North East Essex Integrated Care Board,596764,250276,0.872415,52.11579,4104633966.56934,719849.135987498,b35a7a89-6d39-4839-9e4f-02bbc257251b
10,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",501732,241559,-0.51742,52.06308,1602474388.32272,247950.587030996,75038f92-c4f3-40c1-8f7d-550368b64150
11,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,540239,218140,0.034401,51.84426,2578881925.26136,375209.768498092,4ee1e7e9-43c1-4232-831d-93a22e695232
12,E54000026,NHS Mid and South Essex Integrated Care Board,577266,219465,0.57206,51.84564,1994099074.75774,567757.382592297,112bf646-0e91-4674-b44b-58159dc7032f
13,E54000027,NHS North West London Integrated Care Board,516661,182592,-0.31956,51.53019,370827009.255402,108679.081615117,3f65d00a-311f-4ea6-b3a4-b450936e1e41
14,E54000028,NHS North Central London Integrated Care Board,527588,191919,-0.15874,51.61165,235289745.823494,75101.1905531295,9573ed31-f29c-423e-8f10-a9a7220b6121
15,E54000029,NHS North East London Integrated Care Board,546164,187137,0.107364,51.56417,322860790.029839,106233.478089545,d1ef4511-c934-4d84-8e49-73e8866d3106
16,E54000030,NHS South East London Integrated Care Board,541305,168583,0.029892,51.39868,349099333.747993,106912.257483691,39c8c149-5e5f-4bfa-87ae-9b5daf7f9e08
17,E54000031,NHS South West London Integrated Care Board,527017,167000,-0.17594,51.38783,296537840.488625,133279.174338999,895134be-b61b-40f5-a9ae-9e860f3d2ef7
18,E54000032,NHS Kent and Medway Integrated Care Board,590082,148054,0.719399,51.20007,3741466149.98095,508803.791593867,a1470532-862b-467c-8998-8ad3988c77d7
19,E54000034,NHS Frimley Integrated Care Board,490486,167236,-0.70072,51.39695,600887760.969112,192522.842823661,0a2f5eb3-1812-44cc-aff8-48857385c135
20,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,212497,64493,-4.64254,50.45022,3565046301.10636,840143.15264391,77024d50-a54d-4c4b-9122-08c49c0c9bba
21,E54000037,NHS Devon Integrated Care Board,283157,93085,-3.65678,50.72559,6712600663.94063,777395.899884457,05ceb46b-1675-4eb1-a8bb-c41a6db2e9f4
22,E54000038,NHS Somerset Integrated Care Board,309318,131066,-3.29569,51.07172,3454751936.03408,407555.758312828,7d455181-8907-4096-bbe6-b1cbdab7d94e
23,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",366745,176370,-2.48031,51.48529,982067787.671856,236043.453436061,d707eaca-78c3-41c6-b64f-f231a7d42c43
24,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",393349,154962,-2.09676,51.29374,3866729877.48228,433302.616294588,dad2669e-3114-4cea-92c5-fa89da80930c
25,E54000041,NHS Dorset Integrated Care Board,375748,99796,-2.34547,50.7972,2654935430.19192,477488.447877296,6389632d-e732-4b4d-ab92-25d1c24a00b7
26,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,445537,135837,-1.35074,51.12001,4028433749.4203,716290.022722698,aa9f4bba-fa5e-4006-9978-fe55345465ba
27,E54000043,NHS Gloucestershire Integrated Care Board,389595,213465,-2.15235,51.81971,2656168388.0211,442055.636219982,f5846b63-5bd1-4c46-9d09-011ce2498e81
28,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",459681,205725,-1.13691,51.74705,5006595857.09943,507708.319154518,26d63f83-5df6-42d8-82be-6be2ca782362
29,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,352411,467532,-2.72924,54.10147,4992391969.29713,820704.131178801,c3d322aa-b7c4-451d-95ab-c928ce0e2b2d
30,E54000050,NHS North East and North Cumbria Integrated Care Board,386195,560726,-2.21702,54.94101,13641338433.5339,1048812.81952492,ce866749-0194-4e95-9eaa-99c1e2710dcf
31,E54000051,NHS Humber and North Yorkshire Integrated Care Board,463464,464639,-1.03161,54.07379,10663849823.9824,881738.178578376,bc493976-a188-41ba-894d-d54591fe4902
32,E54000054,NHS West Yorkshire Integrated Care Board,419321,443326,-1.70754,53.88578,3070537491.05112,376224.267658516,a00a4766-d3af-4580-88bf-9c8f2cbf1bb4
33,E54000055,NHS Birmingham and Solihull Integrated Care Board,412791,287491,-1.81306,52.4852,445370154.747253,135968.590183681,fcf3f16a-d48a-48bb-87c8-057352f08292
34,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,536856,268346,0.005437,52.29621,3473558904.16759,395135.781982261,456aed5c-f453-4a7d-a73b-cc3c3fe82637
